"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2509","Изменить количество отображаемых товаров на странице","webkit","Thu Mar 27 16:39:44 GMT 2025","passed","Thu Mar 27 16:39:47 GMT 2025","","products.spec.js","",""
"","6204","Перейти на страницу производителя товара","chromium","Thu Mar 27 16:36:09 GMT 2025","passed","Thu Mar 27 16:36:15 GMT 2025","","products.spec.js","",""
"","8442","Отфильтровать товары по ценовому диапазону","firefox","Thu Mar 27 16:37:58 GMT 2025","passed","Thu Mar 27 16:38:07 GMT 2025","","products.spec.js","",""
"","14612","Увеличить количество товара в корзине больше чем на 1 еденицу","chromium","Thu Mar 27 16:36:15 GMT 2025","passed","Thu Mar 27 16:36:30 GMT 2025","","products.spec.js","",""
"","8168","Проверить отображение истории заказов","firefox","Thu Mar 27 16:37:31 GMT 2025","passed","Thu Mar 27 16:37:39 GMT 2025","","account.spec.js","",""
"","6357","Перейти на страницу производителя товара","firefox","Thu Mar 27 16:38:07 GMT 2025","passed","Thu Mar 27 16:38:13 GMT 2025","","products.spec.js","",""
"","9559","Обновить платежную информацию","webkit","Thu Mar 27 16:39:11 GMT 2025","passed","Thu Mar 27 16:39:21 GMT 2025","","account.spec.js","",""
"","10149","Обновить платежную информацию","chromium","Thu Mar 27 16:35:02 GMT 2025","passed","Thu Mar 27 16:35:12 GMT 2025","","account.spec.js","",""
"","22527","Восстановить пароль c email зарегистрированного пользователя","webkit","Thu Mar 27 16:38:32 GMT 2025","passed","Thu Mar 27 16:38:54 GMT 2025","","account.spec.js","",""
"","28500","Неверное отображение итоговой цены заказа","chromium","Wed Mar 26 05:48:44 GMT 2025","passed","Wed Mar 26 05:49:13 GMT 2025","","products.spec.js","",""
"","4842","Отправить комментарий к товару только с обязательными полями","chromium","Thu Mar 27 16:35:45 GMT 2025","passed","Thu Mar 27 16:35:50 GMT 2025","","products.spec.js","",""
"","5668","Перейти на детальную страницу товара в категории ""hot item""","firefox","Thu Mar 27 16:37:53 GMT 2025","passed","Thu Mar 27 16:37:58 GMT 2025","","products.spec.js","",""
"","2596","Изменить количество отображаемых товаров на странице","chromium","Thu Mar 27 16:35:43 GMT 2025","passed","Thu Mar 27 16:35:45 GMT 2025","","products.spec.js","",""
"","12664","Проверить отображение истории заказов","chromium","Thu Mar 27 16:35:20 GMT 2025","passed","Thu Mar 27 16:35:33 GMT 2025","","account.spec.js","",""
